prompt_category,prompt_item,worker_id,color_id,hex_value,response_category,response_item,source,frequency
countries,United States,A12IGQUIDFHJAZ,0,none,none,none,none,NULL
tech companies,Hulu,A2SV374Q227LEN,0,none,none,none,none,NULL
tech companies,Yelp,A1KSE9KF1WP564,0,none,none,none,none,NULL
countries,China,A2SV374Q227LEN,0,none,none,none,none,NULL
fruits,Pear fruit,A2SV374Q227LEN,0,none,none,none,none,NULL
emotions,happiness,A1KSE9KF1WP564,0,none,none,none,none,NULL
tech companies,Hulu,A12IGQUIDFHJAZ,0,none,none,none,none,NULL
emotions,anger,A1WR3208ER8Q9D,0,none,none,none,none,NULL
tech companies,Hulu,A1KSE9KF1WP564,0,none,none,none,none,NULL
fruits,Banana fruit,A2SV374Q227LEN,0,none,none,none,none,NULL
tech companies,Hulu,A1WR3208ER8Q9D,0,none,none,none,none,NULL
emotions,happiness,A2SV374Q227LEN,0,none,none,none,none,NULL
fruits,Banana fruit,A1WR3208ER8Q9D,0,none,none,none,none,NULL
soda,Coca-cola,ATNXEVTO6568Z,0,none,none,none,none,NULL
soda,Sprite,AGL4Q493D0P7T,0,none,none,none,none,NULL
fruits,Strawberry fruit,A3FGJQZAB81TXE,0,none,none,none,none,NULL
emotions,happiness,A1WR3208ER8Q9D,0,none,none,none,none,NULL
fruits,Pear fruit,A1WR3208ER8Q9D,0,none,none,none,none,NULL
tech companies,Hulu,A3FGJQZAB81TXE,0,none,none,none,none,NULL
tech companies,Yelp,A3FGJQZAB81TXE,0,none,none,none,none,NULL
emotions,happiness,A29HE4W3W4C9NN,0,none,none,none,none,NULL
superheroes,Spiderman,A29HE4W3W4C9NN,0,none,none,none,none,NULL
tech companies,Hulu,A29HE4W3W4C9NN,0,none,none,none,none,NULL
tech companies,Facebook,A1JP6JKZOZE3Y7,1,B5C7E0,tech companies,Facebook,autoinsert,4014.06
tech companies,Facebook,AGL4Q493D0P7T,1,B5C7E0,tech companies,Facebook,autoinsert,4014.06
tech companies,Facebook,A2SV374Q227LEN,2,294980,tech companies,Facebook,autoinsert,6134.84
tech companies,Facebook,A1KSE9KF1WP564,2,294980,tech companies,Facebook,autoinsert,6134.84
tech companies,Facebook,A12IGQUIDFHJAZ,2,294980,tech companies,Facebook,autoinsert,6134.84
tech companies,Facebook,A3HAVQI8I8MIO8,2,294980,tech companies,Facebook,autoinsert,6134.84
tech companies,Facebook,ATNXEVTO6568Z,2,294980,tech companies,Facebook,autoinsert,6134.84
tech companies,Facebook,A3FGJQZAB81TXE,2,294980,tech companies,Facebook,autoinsert,6134.84
tech companies,Facebook,A1WR3208ER8Q9D,2,294980,tech companies,Facebook,autoinsert,6134.84
tech companies,Facebook,A29HE4W3W4C9NN,2,294980,tech companies,Facebook,autoinsert,6134.84
emotions,fear,A3FGJQZAB81TXE,5,BA1601,tech companies,Yelp,autoinsert,1226.99
tech companies,Yelp,A3HAVQI8I8MIO8,6,550018,tech companies,Yelp,autoinsert,9.3332
tech companies,Yelp,ATNXEVTO6568Z,6,550018,tech companies,Yelp,autoinsert,9.3332
superheroes,Superman,A29HE4W3W4C9NN,8,B5332E,tech companies,Yelp,autoinsert,3208.19
tech companies,Yelp,A29HE4W3W4C9NN,8,B5332E,tech companies,Yelp,autoinsert,3208.19
tech companies,Hulu,ATNXEVTO6568Z,9,DCE1E8,tech companies,Hulu,autoinsert,4870.26
tech companies,Hulu,A1JP6JKZOZE3Y7,13,952C01,tech companies,Twitter,autoinsert,29.0843
tech companies,Twitter,AGL4Q493D0P7T,13,952C01,tech companies,Twitter,autoinsert,29.0843
emotions,fear,ATNXEVTO6568Z,13,952C01,tech companies,Twitter,autoinsert,29.0843
tech companies,Twitter,A12IGQUIDFHJAZ,15,69C4DC,tech companies,Twitter,autoinsert,9887.8
tech companies,Twitter,A1KSE9KF1WP564,15,69C4DC,tech companies,Twitter,autoinsert,9887.8
tech companies,Twitter,A3HAVQI8I8MIO8,15,69C4DC,tech companies,Twitter,autoinsert,9887.8
emotions,sadness,A1KSE9KF1WP564,15,69C4DC,tech companies,Twitter,autoinsert,9887.8
tech companies,Twitter,A1WR3208ER8Q9D,15,69C4DC,tech companies,Twitter,autoinsert,9887.8
tech companies,Twitter,A29HE4W3W4C9NN,15,69C4DC,tech companies,Twitter,autoinsert,9887.8
tech companies,Twitter,A3FGJQZAB81TXE,15,69C4DC,tech companies,Twitter,autoinsert,9887.8
fruits,Apple fruit,A1KSE9KF1WP564,19,B22921,fruits,Apple fruit,autoinsert,1877.14
fruits,Apple fruit,A1JP6JKZOZE3Y7,19,B22921,fruits,Apple fruit,autoinsert,1877.14
fruits,Apple fruit,A2SV374Q227LEN,19,B22921,fruits,Apple fruit,autoinsert,1877.14
fruits,Apple fruit,A1WR3208ER8Q9D,19,B22921,fruits,Apple fruit,autoinsert,1877.14
fruits,Apple fruit,AGL4Q493D0P7T,19,B22921,fruits,Apple fruit,autoinsert,1877.14
fruits,Apple fruit,A3FGJQZAB81TXE,19,B22921,fruits,Apple fruit,autoinsert,1877.14
fruits,Apple fruit,A12IGQUIDFHJAZ,20,7FAE3F,fruits,Apple fruit,autoinsert,4464.39
fruits,Apple fruit,A3HAVQI8I8MIO8,20,7FAE3F,fruits,Apple fruit,autoinsert,4464.39
fruits,Apple fruit,ATNXEVTO6568Z,20,7FAE3F,fruits,Apple fruit,autoinsert,4464.39
fruits,Apple fruit,A29HE4W3W4C9NN,20,7FAE3F,fruits,Apple fruit,autoinsert,4464.39
emotions,fear,A29HE4W3W4C9NN,20,7FAE3F,fruits,Apple fruit,autoinsert,4464.39
superheroes,Green Lantern,A29HE4W3W4C9NN,20,7FAE3F,fruits,Apple fruit,autoinsert,4464.39
countries,United States,A1KSE9KF1WP564,21,F9F7ED,fruits,Banana fruit,autoinsert,9456.36
countries,United States,A1WR3208ER8Q9D,21,F9F7ED,fruits,Banana fruit,autoinsert,9456.36
fruits,Banana fruit,ATNXEVTO6568Z,21,F9F7ED,fruits,Banana fruit,autoinsert,9456.36
fruits,Banana fruit,A1JP6JKZOZE3Y7,22,7F7D58,fruits,Banana fruit,autoinsert,2165.21
fruits,Banana fruit,A3HAVQI8I8MIO8,24,B9A623,fruits,Banana fruit,autoinsert,3995.22
fruits,Banana fruit,A1KSE9KF1WP564,24,B9A623,fruits,Banana fruit,autoinsert,3995.22
tech companies,Hulu,AGL4Q493D0P7T,24,B9A623,fruits,Banana fruit,autoinsert,3995.22
fruits,Banana fruit,A12IGQUIDFHJAZ,24,B9A623,fruits,Banana fruit,autoinsert,3995.22
fruits,Banana fruit,AGL4Q493D0P7T,24,B9A623,fruits,Banana fruit,autoinsert,3995.22
fruits,Banana fruit,A3FGJQZAB81TXE,24,B9A623,fruits,Banana fruit,autoinsert,3995.22
fruits,Strawberry fruit,A12IGQUIDFHJAZ,25,B4170D,fruits,Strawberry fruit,autoinsert,2773.76
fruits,Strawberry fruit,A1KSE9KF1WP564,25,B4170D,fruits,Strawberry fruit,autoinsert,2773.76
fruits,Strawberry fruit,A2SV374Q227LEN,25,B4170D,fruits,Strawberry fruit,autoinsert,2773.76
fruits,Strawberry fruit,A3HAVQI8I8MIO8,25,B4170D,fruits,Strawberry fruit,autoinsert,2773.76
superheroes,Superman,AGL4Q493D0P7T,25,B4170D,fruits,Strawberry fruit,autoinsert,2773.76
fruits,Strawberry fruit,A1WR3208ER8Q9D,25,B4170D,fruits,Strawberry fruit,autoinsert,2773.76
fruits,Strawberry fruit,A29HE4W3W4C9NN,25,B4170D,fruits,Strawberry fruit,autoinsert,2773.76
tech companies,Yelp,A1WR3208ER8Q9D,26,D0C8C4,fruits,Strawberry fruit,autoinsert,13466.3
fruits,Strawberry fruit,ATNXEVTO6568Z,26,D0C8C4,fruits,Strawberry fruit,autoinsert,13466.3
fruits,Pear fruit,A1JP6JKZOZE3Y7,29,811F0B,fruits,Pear fruit,autoinsert,1178.65
fruits,Pear fruit,ATNXEVTO6568Z,29,811F0B,fruits,Pear fruit,autoinsert,1178.65
fruits,Pear fruit,A12IGQUIDFHJAZ,31,8.67E+33,fruits,Pear fruit,autoinsert,4126.23
fruits,Pear fruit,A1KSE9KF1WP564,31,8.67E+33,fruits,Pear fruit,autoinsert,4126.23
fruits,Pear fruit,A3HAVQI8I8MIO8,31,8.67E+33,fruits,Pear fruit,autoinsert,4126.23
countries,Brazil,A1JP6JKZOZE3Y7,31,8.67E+33,fruits,Pear fruit,autoinsert,4126.23
fruits,Pear fruit,A3FGJQZAB81TXE,31,8.67E+33,fruits,Pear fruit,autoinsert,4126.23
fruits,Pear fruit,AGL4Q493D0P7T,31,8.67E+33,fruits,Pear fruit,autoinsert,4126.23
emotions,fear,AGL4Q493D0P7T,33,49200A,superheroes,Batman,autoinsert,1738.18
superheroes,Batman,A2SV374Q227LEN,34,20204,superheroes,Batman,autoinsert,9123.23
